ID,Тип,Артикул,"GTIN, UPC, EAN или ISBN",Имя,Опубликован,Рекомендуемый?,Видимость в каталоге,Краткое описание,Описание,Дата начала действия скидки,Дата окончания действия скидки,Статус налога,Налоговый класс,Наличие,Запасы,Величина малых запасов,Возможен ли предзаказ?,Продано индивидуально?,Вес (кг),Длина (см),Ширина (см),Высота (см),Разрешить отзывы от клиентов?,Примечание к покупке,Акционная цена,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит скачивания,Дней срока скачивания,Родительский,Сгруппированные товары,Апсэлы,Кросселы,Внешний URL,Текст кнопки,Позиция,Бренды,Мета: _eael_post_view_count,Название атрибута 1,Значения атрибутов 1,Видимость атрибута 1,Глобальный атрибут 1,Мета: _uwp_source_url,Мета: _uwp_content_hash
,simple,,,AQUASOFT MAX Black,1,0,visible,<ul><li>6 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,117990,176985,,,,https://habarovsk.vagner-ural.ru/media/product/2023/01/26/577A6797-min.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/filtr-aquila-wpb-6/,bb364c0b3a4cf888947c34656ad81653
,simple,,,Ecosoft без помпы,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,115000,172500,,,,https://habarovsk.vagner-ural.ru/media/product/2025/11/25/ecosoft-1_M63xb68.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/ecosoft-bez-pompy/,125000876d4f92df722e21afe5f5a3e4
,simple,,,AQUASOFT Alkaline,1,0,visible,<ul><li>6 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,129000,193500,,,,https://habarovsk.vagner-ural.ru/media/product/2025/04/29/H168d84c156574fdbba7e6ba87f35d4ccO.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquasoft-alkaline/,84aeeafa30f64cf002b095c22bf8c2ed
,simple,,,AQUASOFT Ravent,1,0,visible,<ul><li>6 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,170000,255000,,,,https://habarovsk.vagner-ural.ru/media/product/2024/05/01/1_Z1k4B3H.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquasoft-ravent/,9978e0d8f8176171b94cd35556cb9c99
,simple,,,Ecosoft с помпой,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,145000,217500,,,,https://habarovsk.vagner-ural.ru/media/product/2025/11/25/ecosoft-1.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/ecosoft-s-pompoj/,a0a764d1afdd608fef5767b65fb02502
,simple,,,AQUASOFT Ultimate,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,148990,223485,,,,https://habarovsk.vagner-ural.ru/media/product/2023/05/13/imgonline-com-ua-Resize-4ueJ7vbI5EWr.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/filtr-aquila-wpw-5/,0776937a6dc6c5809e3f39271d2c151e
,simple,,,AQUASOFT Lux,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,178990,268485,,,,https://habarovsk.vagner-ural.ru/media/product/2023/02/09/lux-1.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquila-lux/,d32f6e533b0d255c55ad9333cf6509b5
,simple,,,AQUASOFT Giza,1,0,visible,<ul><li>6 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,180000,270000,,,,https://habarovsk.vagner-ural.ru/media/product/2024/05/01/1.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquila-giza/,806013a0a651a1e6acf09936a81af633
,simple,,,AQUASOFT Grey,1,0,visible,<ul><li>6 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,198990,298485,,,,https://habarovsk.vagner-ural.ru/media/product/2024/05/01/1_FrPcJIm.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquila-grey/,06f2a33e25c5ef02157795b36c010863
,simple,,,AQUASOFT Coway Pro,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,198990,298485,,,,https://habarovsk.vagner-ural.ru/media/product/2024/11/14/imgonline-com-ua-Resize-sp8v7rRmFRgbQgCP.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquasoft-coway-pro/,144edeb5356b5c870b91a3affefa658d
